symbol,timestamp,open,high,low,close,volume
ETH,2025-03-21 00:00:00,1978.4,1994.04,1938.78,1964.83,441.3981
ETH,2025-03-22 00:00:00,1965.2,2005.17,1964.66,1980.49,68.2515
ETH,2025-03-23 00:00:00,1979.23,2018.11,1979.23,2003.96,151.1314
ETH,2025-03-24 00:00:00,2003.96,2101.65,1978.01,2082.94,725.6929
ETH,2025-03-25 00:00:00,2080.31,2098.23,2039.02,2064.58,400.0102
ETH,2025-03-26 00:00:00,2064.89,2078.14,1984.47,2007.52,602.4725
ETH,2025-03-27 00:00:00,2008.45,2033.61,1986.89,2002,333.5602
ETH,2025-03-28 00:00:00,2004.11,2015.47,1863.36,1895.89,1034.6877
ETH,2025-03-29 00:00:00,1896.95,1912,1799.06,1828.47,182.8051
ETH,2025-03-30 00:00:00,1827.52,1847.7,1769.96,1804.35,347.97
ETH,2025-03-31 00:00:00,1808.69,1850.86,1778.03,1827.07,407.9333
ETH,2025-04-01 00:00:00,1821.82,1925,1819.54,1905.35,596.968
ETH,2025-04-02 00:00:00,1905.25,1952.76,1783.3,1793.43,612.5814
ETH,2025-04-03 00:00:00,1794.96,1843.9,1752.56,1819.25,754.3265
ETH,2025-04-04 00:00:00,1818.44,1833.7,1761.56,1813.04,760.2571
ETH,2025-04-05 00:00:00,1813.71,1826.36,1765.92,1805.4,295.3175
ETH,2025-04-06 00:00:00,1805.39,1814.99,1540.52,1577.55,1070.4534
ETH,2025-04-07 00:00:00,1577.02,1635.43,1413.76,1554.1,1128.3986
ETH,2025-04-08 00:00:00,1551,1615.86,1449.58,1472.65,630.794
ETH,2025-04-09 00:00:00,1475.18,1685.09,1386.53,1668.6,692.5618
ETH,2025-04-10 00:00:00,1666.44,1666.5,1474.19,1522.57,666.0758
ETH,2025-04-11 00:00:00,1522.57,1588.45,1507.03,1569,367.648
ETH,2025-04-12 00:00:00,1563.82,1668.52,1548.16,1645.65,223.7508
ETH,2025-04-13 00:00:00,1643.6,1649.54,1562.99,1598.57,188.8889
ETH,2025-04-14 00:00:00,1600.35,1690.09,1596.17,1622.17,236.7962
ETH,2025-04-15 00:00:00,1626.91,1659.55,1583.81,1587.68,81.8306
ETH,2025-04-16 00:00:00,1587.68,1612.65,1541,1578.01,234.6426
ETH,2025-04-17 00:00:00,1579.48,1615.33,1565.15,1581.83,131.3966
ETH,2025-04-18 00:00:00,1579.66,1598.43,1574.82,1589.33,55.0487
ETH,2025-04-19 00:00:00,1588.3,1629.89,1585,1613.53,47.5088
ETH,2025-04-20 00:00:00,1612.05,1619.34,1565.94,1585.7,49.7267
ETH,2025-04-21 00:00:00,1588.61,1656.9,1564.12,1580.5,167.8624
ETH,2025-04-22 00:00:00,1577.94,1775.71,1540.27,1756.56,372.6549
ETH,2025-04-23 00:00:00,1757.3,1833.5,1747.2,1796.25,253.7433
ETH,2025-04-24 00:00:00,1795.95,1801.29,1723.48,1768,238.7881
ETH,2025-04-25 00:00:00,1767.99,1826,1741.61,1785.71,244.7429
ETH,2025-04-26 00:00:00,1786.35,1839.58,1780.61,1821.14,128.701
ETH,2025-04-27 00:00:00,1821.45,1855.69,1784.3,1794.69,214.789
ETH,2025-04-28 00:00:00,1791.77,1826.08,1746.32,1798.54,244.1634
ETH,2025-04-29 00:00:00,1797.61,1841.11,1781.93,1799.87,242.1404
ETH,2025-04-30 00:00:00,1797.99,1815.95,1733.75,1794.32,381.8859
ETH,2025-05-01 00:00:00,1795.14,1870.86,1792.52,1838.31,165.3119
ETH,2025-05-02 00:00:00,1839.66,1869.52,1812.13,1840.53,136.6768
ETH,2025-05-03 00:00:00,1842.39,1848.13,1812,1832.99,103.9863
ETH,2025-05-04 00:00:00,1834.59,1849.55,1803.79,1808.17,36.342
